m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.3,0.8,0.2,0.04,0.20286857712368436,0.5732706753544182,4.848258633573934,6.136743489410875,6.136743861441502,6.136743793664138,6.136743930141094,6.136743880111609,2.663312280746979,2.6688342551478144,2.636074407786438,2.67264682660236,2.659840431415361,0.5883913463950923
5.0,0.3,0.81,0.2,0.04,0.22527127054744994,0.6924117830420657,4.43791341631762,5.896895176910526,5.896899371018968,5.8968998290227645,5.8969130941548755,5.896916404648287,2.131298760497735,2.1326094326617167,2.1248098447225274,2.13340913292253,2.1305516060181944,0.43336048748731193
5.0,0.3,0.82,0.2,0.04,0.22540392269499687,0.6922456596452925,4.395543419951842,5.87456039414959,5.874564804990619,5.87456528663855,5.874579237307749,5.874582718883936,2.084765451912368,2.0860524041193784,2.0783961921868794,2.0868377053514777,2.084031886165427,0.4332093793204556
5.0,0.3,0.83,0.2,0.04,0.22553273846772293,0.6920841985146989,4.353659750160965,5.852684929028179,5.852689564491662,5.852690070655477,5.852704731913796,5.85270839082326,2.0401826453270004,2.04144697168325,2.0339274484529923,2.0422185353930544,2.039462039407077,0.43484490521111463
5.0,0.3,0.84,0.2,0.04,0.225657837925845,0.6919272424560737,4.312269946194043,5.831235605203197,5.831240473281319,5.831241004880063,5.831256401866845,5.831260244451492,1.9974504034792844,1.9986931984161274,1.9913036913115647,1.999451687095494,1.9967421285890268,0.43793526991233334
5.0,0.3,0.85,0.2,0.04,0.22577936119573389,0.6917746391777588,4.271383227074999,5.8101849997290955,5.810190108479524,5.8101906663562985,5.810206824527391,5.8102108569972515,1.956472547092595,1.9576948942952512,1.9504288104274892,1.9584409646243657,1.9557759811103423,0.4421918947332403
5.0,0.3,0.86,0.2,0.04,0.22589745900360092,0.6916262413414126,4.231009804936853,5.789510435671069,5.789515793068709,5.7895163781002665,5.789533322893327,5.789537551724003,1.9171570547230985,1.9183600181948677,1.9112108959537508,1.9190943150072926,1.916471587287866,0.4473661729433311
5.0,0.3,0.87,0.2,0.04,0.22601225093041757,0.6914819065678202,4.191160331421393,5.769193124542049,5.76919873867913,5.769199351762687,5.769217108749068,5.76922154031066,1.8794162963411836,1.8806009138328008,1.873562461269863,1.8813240663819997,1.878741332292826,0.453245761487221
5.0,0.3,0.88,0.2,0.04,0.22612383866721922,0.6913414974074084,4.151845458556032,5.749217444071142,5.749223323119928,5.749223965143607,5.749242559922855,5.7492472005972886,1.8431671366000373,1.8443344143286922,1.8374005383151015,1.845047033223942,1.8425020993357393,0.45965074358009295
5.0,0.3,0.89,0.2,0.04,0.22623234003838497,0.6912048812792827,4.11307549697343,5.729570334494234,5.729576486518759,5.729577158352946,5.729596616700597,5.7296014729039015,1.808330938358118,1.8094818476705186,1.8026466733502602,1.8101845224853932,1.8076752711802655,0.46642987602979424
