m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.3,0.28,0.2,0.04,0.2073273918043444,0.7131322750173781,2.430384168443254,4.77652654604168,4.776527933618183,4.776526820093352,4.7765268867720465,4.7765262184071275,0.78966847089265,0.7961962876789244,0.7584723685691301,0.7985408309264699,0.7866079351261419,0.45404427810233383
5.0,0.3,0.27,0.2,0.04,0.2066643991590492,0.7137915199478874,2.6887851064985284,4.9486761123453675,4.948677318124794,4.948676350437893,4.948676408434096,4.948675827598493,0.9232181912885267,0.9309904228517212,0.8855249571388981,0.933772725246456,0.9195610297220469,0.37371084246752817
5.0,0.3,0.26,0.2,0.04,0.20598892044510783,0.7144482302028423,2.962550581783546,5.108722255402938,5.108723309472737,5.108722463574907,5.108722514256499,5.108722006499249,1.0658697306640192,1.0752569785254877,1.019568213576406,1.0786049295880389,1.0614345134272867,0.353119195210934
5.0,0.3,0.25,0.2,0.04,0.2053012997607287,0.7150997192425725,3.245543509925085,5.259059236512769,5.259060166889924,5.2590594202739,5.259059465004668,5.259059016821141,1.2218028705270285,1.2332852604832283,1.1640456369469234,1.2373631099604268,1.216352322743262,0.3585594921093848
5.0,0.3,0.24,0.2,0.04,0.20460200511190635,0.7157422339165627,3.529646897116038,5.401091779924229,5.4010926110173045,5.40109194406665,5.401091984053039,5.401091583665277,1.393792972389349,1.4079965119204303,1.3206842591667396,1.413016221851251,1.3870142630585747,0.35379834962126855
5.0,0.3,0.23,0.2,0.04,0.2038915830370546,0.7163701167644128,3.8064248935689307,5.5349860955839745,5.534986847944367,5.534986244219056,5.53498628036192,5.534985917934193,1.5837660215211713,1.6015042647259747,1.489924173091424,1.6077377191541586,1.5752468518917908,0.3250071896876656
5.0,0.3,0.22,0.2,0.04,0.20317063399406365,0.7169746924112721,4.068618288388336,5.660856047552045,5.660856738592486,5.660856184051738,5.66085621726603,5.660855884343221,1.7938179462758512,1.816112304022738,1.6718760178533216,1.8238944056498099,1.7830301676427212,0.2942126007626432
5.0,0.3,0.21,0.2,0.04,0.20243986936315136,0.7175426721454419,4.3114897112614585,5.780664961498189,5.780665606980222,5.780665089025263,5.7806651200399415,5.780664809055509,2.026395066103362,2.054422593431866,1.8666167175061332,2.064127034413616,2.0127097205509585,0.3121704040146064
5.0,0.3,0.2,0.2,0.04,0.2017003107787723,0.7180537535293916,4.534025722719946,5.899689742180328,5.899690357024667,5.8996898636310675,5.899689893187372,5.899689596979044,2.2828952563982625,2.317808195040527,2.0731541504233633,2.3297777526286723,2.26565739305903,0.4397388374280291
5.0,0.3,0.19,0.2,0.04,0.20095372584609472,0.7184771195297648,4.739383607405273,6.026516489944299,6.0265170892749325,6.026516608333225,6.026516637180578,6.026516348400548,2.561238163485143,2.603864343540465,2.287423379926679,2.6183034043602333,2.539903404318977,0.7155295084151498
5.0,0.3,0.18,0.2,0.04,0.2002035059597137,0.7187665427973688,4.93314924471548,6.169929953931899,6.16993055337349,6.169930072332647,6.1699301011777266,6.1699298123213,2.854279705787178,2.904865878468229,2.5004873880998844,2.9217575718640205,2.828543521431186,1.099828536911169
5.0,0.3,0.17,0.2,0.04,0.1994563059035712,0.7188536398168904,5.1180262833686925,0.04878929882651306,0.04878991494823737,0.04878942055646718,0.04878945015915548,0.048789153275073716,3.1511872264805447,3.209378674284892,2.698548256050856,3.22849362584617,3.1210148067789873,1.4455595920002053
5.0,0.3,0.16,0.2,0.04,0.1987184290139019,0.7186397132519321,5.28734075274366,0.21926049897300715,0.2192611510816178,0.21926062779065347,0.21926065917640614,0.2192603448836863,3.440704543152208,3.5056407521720416,2.865058966297113,3.526589554059285,3.406313391030892,1.5853746221129945
5.0,0.3,0.15,0.2,0.04,0.1979947182529697,0.7179926050680313,5.42451496663449,0.37993432128750015,0.3799350371657866,0.3799344627489418,0.37993449714239347,0.37993415216968884,3.7126415933831254,3.782876868468577,2.9834123189885418,3.8051060244402493,3.674584002686572,1.4740135978856197
5.0,0.3,0.14,0.2,0.04,0.19729104065407585,0.7167707172131103,5.511586148303252,0.5161843314734043,0.5161851565783664,0.516184494513972,0.5161845341774907,0.5161841365618685,3.9582553620976455,4.031616492297928,3.040829144064503,4.054386800304258,3.917550472192545,1.2093262870901453
5.0,0.3,0.13,0.2,0.04,0.19661427729263345,0.7149142073244251,5.540036003475109,0.6244532252347099,0.6244542374118183,0.6244534252416898,0.6244534739223937,0.624452986103087,4.173126905454467,4.2468473995186855,3.036447868380094,4.269294284816226,4.131242895276557,0.9209353816048329
5.0,0.3,0.12,0.2,0.04,0.19597061980448027,0.7126041761884583,5.517062119694003,0.7114972708512042,0.7114986060035235,0.7114975346737893,0.7114975988663801,0.7114969553979691,4.360588659942152,4.431681777436154,2.9911181662465083,4.452930449165763,4.319254100113142,0.6808401753614615
